SenderID,Ignore,MessageText,Ignore,special event id,Ignore,Randomize,Ignore,attachments from here on out,
Kamal,%%%,"This is a test of the text system right nowSheet1!B:B, Sheet1!B:B, This is a test of the text system right nowSheet1!B:B, Sheet1!B:B, This is a test of the text system right nowSheet1!B:B, Sheet1!B:B, This is a test of the text system right nowSheet1!B:B, Sheet1!B:B, This is a test of the text system right nowSheet1!B:B, Sheet1!B:B, ",%%%,0,%%%,0,%%%,test,
Lulia,%%%,":LorumImpus, Lorum Ipsum, ds897fd89*&#(*&$(*#@*&:LorumImpus, Lorum Ipsum, ds897fd89*&#(*&$(*#@*&:LorumImpus, Lorum Ipsum, ds897fd89*&#(*&$(*#@*&",%%%,0,%%%,0,%%%,,
Habit,%%%,"Testy test wow,,,.....",%%%,0,%%%,0,%%%,test,test2
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
,%%%,,%%%,0,%%%,0,%%%,,
